query_id	n_targets	n_intact	n_trimmed	n_skipped	frac_intact	mean_inframe_coverage	gene_name	pfam_id	n_exons_spanned	n_cds_exons	is_single_exon_domain	domain_length_aa	clan	clan_name
PFAM0000076	10	9	0	1	0.9	0.9	SKAP2	PF00018	2.0	12.0	False	38.0	CL0010	SH3
PFAM0000077	3	2	1	0	0.6666666666666666	0.9296000000000001	UPP2	PF01048	6.0	7.0	False	251.0	CL0408	PUP
PFAM0000078	5	3	0	2	0.6	0.60416	PRSS21	PF00089	4.0	6.0	False	240.0	CL0124	Peptidase_PA
PFAM0000079	1	0	0	1	0.0	0.0	HOXA11	PF12045	1.0	2.0	True	128.0	PF12045	
PFAM0000080	1	0	0	1	0.0	0.0	HOXA11	PF00046	1.0	2.0	True	57.0	CL0123	HTH
PFAM0000081	3	2	0	1	0.6666666666666666	0.6481333333333333	CX3CL1	PF00048	2.0	3.0	False	54.0	CL0730	IL8
PFAM0000084	18	15	2	1	0.8333333333333334	0.9021944444444444	WDR54	PF21031	9.0	9.0	False	334.0	CL0186	Beta_propeller
PFAM0000085	19	19	0	0	1.0	0.9928105263157894	SPATA20	PF03190	5.0	17.0	False	161.0	CL0172	Thioredoxin
PFAM0000088	4	2	0	2	0.5	0.5	CD79B	PF07686	1.0	6.0	True	94.0	CL0159	E-set
PFAM0000089	5	1	0	4	0.2	0.38392	RHBDD2	PF01694	3.0	4.0	False	145.0	CL0207	Rhomboid-like
PFAM0000090	11	3	4	4	0.2727272727272727	0.6146545454545455	RPUSD1	PF00849	5.0	5.0	False	166.0	CL0649	PseudoU_synth
PFAM0000091	4	4	0	0	1.0	1.0	TSR3	PF04068	1.0	6.0	True	33.0	CL0344	4Fe-4S
PFAM0000092	4	4	0	0	1.0	0.94685	TSR3	PF04034	3.0	6.0	False	127.0	CL0098	SPOUT
PFAM0000093	5	4	1	0	0.8	0.95862	OSBPL7	PF15409	4.0	22.0	False	87.0	CL0266	PH
PFAM0000094	5	5	0	0	1.0	1.0	OSBPL7	PF01237	9.0	22.0	False	351.0	PF01237	
PFAM0000095	3	2	0	1	0.6666666666666666	0.6666666666666666	ARHGAP33	PF14604	3.0	21.0	False	52.0	CL0010	SH3
PFAM0000096	3	2	0	1	0.6666666666666666	0.6666666666666666	ARHGAP33	PF00620	5.0	21.0	False	147.0	CL0409	GAP
PFAM0000097	5	4	0	1	0.8	0.75086	NDUFAB1	PF00550	3.0	4.0	False	57.0	CL0314	PP-binding
PFAM0000098	3	1	1	1	0.3333333333333333	0.5174	YBX2	PF00313	4.0	8.0	False	67.0	CL0021	OB
PFAM0000112	6	5	0	1	0.8333333333333334	0.8311666666666667	CRY1	PF00875	4.0	12.0	False	154.0	CL0039	HUP
PFAM0000113	6	4	1	1	0.6666666666666666	0.7889499999999999	CRY1	PF03441	3.0	12.0	False	199.0	PF03441	
PFAM0000115	34	32	2	0	0.9411764705882353	0.9321529411764706	STARD3NL	PF10457	6.0	7.0	False	166.0	PF10457	
PFAM0000117	19	14	5	0	0.7368421052631579	0.9022105263157895	CD9	PF00335	8.0	8.0	False	211.0	CL0347	TSPAN_4TM-like
PFAM0000118	16	14	2	0	0.875	0.93135625	CD74	PF09307	4.0	9.0	False	112.0	PF09307	
PFAM0000119	16	13	2	1	0.8125	0.86765	CD74	PF08831	3.0	9.0	False	68.0	PF08831	
PFAM0000120	16	6	0	10	0.375	0.375	CD74	PF00086	1.0	9.0	True	46.0	PF00086	
PFAM0000121	13	5	3	5	0.38461538461538464	0.5889307692307693	RPS20	PF00338	3.0	4.0	False	95.0	PF00338	
PFAM0000126	4	0	0	4	0.0	0.163325	CPA1	PF02244	2.0	10.0	False	75.0	CL0570	PPP-I
PFAM0000127	4	2	1	1	0.5	0.644775	CPA1	PF00246	7.0	10.0	False	278.0	CL0865	ZnExoPePases
PFAM0000129	4	3	1	0	0.75	0.8889	RANBP9	PF00622	5.0	14.0	False	117.0	CL0004	Concanavalin
PFAM0000130	4	4	0	0	1.0	1.0	RANBP9	PF08513	2.0	14.0	False	25.0	CL0561	LisH
PFAM0000131	4	4	0	0	1.0	1.0	RANBP9	PF10607	3.0	14.0	False	53.0	CL0825	CTLH
PFAM0000132	4	4	0	0	1.0	1.0	RANBP9	PF10607	3.0	14.0	False	93.0	CL0825	CTLH
PFAM0000133	6	1	4	1	0.16666666666666666	0.5476166666666668	CD4	PF00047	2.0	9.0	False	91.0	CL0159	E-set
PFAM0000134	6	4	0	2	0.6666666666666666	0.6666666666666666	CD4	PF05790	1.0	9.0	True	77.0	CL0159	E-set
PFAM0000135	6	4	0	2	0.6666666666666666	0.6666666666666666	CD4	PF09191	1.0	9.0	True	111.0	CL0159	E-set
PFAM0000136	6	4	0	2	0.6666666666666666	0.6666666666666666	CD4	PF05790	3.0	9.0	False	73.0	CL0159	E-set
PFAM0000137	6	4	0	2	0.6666666666666666	0.6666666666666666	CD4	PF12104	3.0	9.0	False	28.0	PF12104	
PFAM0000139	2	2	0	0	1.0	0.975	SS18L2	PF05030	3.0	3.0	False	60.0	PF05030	
PFAM0000145	26	23	2	1	0.8846153846153846	0.9411192307692308	TSPAN9	PF00335	7.0	7.0	False	221.0	CL0347	TSPAN_4TM-like
PFAM0000147	1	0	1	0	0.0	0.7244	QPCTL	PF04389	5.0	7.0	False	225.0	CL0865	ZnExoPePases
PFAM0000151	8	7	0	1	0.875	0.875	PPP5C	PF00515	2.0	13.0	False	33.0	CL0020	TPR
PFAM0000152	8	8	0	0	1.0	0.926075	PPP5C	PF08321	3.0	13.0	False	93.0	CL0020	TPR
PFAM0000153	8	7	0	1	0.875	0.9259000000000001	PPP5C	PF00149	6.0	13.0	False	194.0	CL0163	Calcineurin
PFAM0000155	11	6	0	5	0.5454545454545454	0.5590181818181819	UBR7	PF02207	3.0	11.0	False	67.0	PF02207	
PFAM0000158	1	1	0	0	1.0	0.9961	INMT	PF01234	3.0	3.0	False	256.0	CL0063	NADP_Rossmann
PFAM0000165	15	13	0	2	0.8666666666666667	0.8808666666666667	GPRC5A	PF00003	1.0	3.0	True	241.0	CL0192	GPCR_A
PFAM0000166	5	3	1	1	0.6	0.7904199999999999	HEBP1	PF04832	4.0	4.0	False	174.0	CL0319	SHS2
PFAM0000168	9	9	0	0	1.0	1.0	ADARB1	PF00035	1.0	9.0	True	62.0	CL0196	DSRM
PFAM0000169	9	9	0	0	1.0	1.0	ADARB1	PF00035	1.0	9.0	True	51.0	CL0196	DSRM
PFAM0000170	9	9	0	0	1.0	0.9714777777777778	ADARB1	PF02137	6.0	9.0	False	322.0	CL0109	CDA
PFAM0000171	3	3	0	0	1.0	0.9314666666666667	COX15	PF02628	8.0	9.0	False	326.0	CL0328	2heme_cytochrom
PFAM0000172	8	2	4	2	0.25	0.57755	MS4A12	PF04103	4.0	6.0	False	94.0	CL0347	TSPAN_4TM-like
PFAM0000173	6	1	0	5	0.16666666666666666	0.16666666666666666	RGPD5	PF00638	1.0	23.0	True	121.0	CL0266	PH
PFAM0000174	6	1	0	5	0.16666666666666666	0.16666666666666666	RGPD5	PF00638	1.0	23.0	True	121.0	CL0266	PH
PFAM0000175	6	1	0	5	0.16666666666666666	0.16666666666666666	RGPD5	PF16704	3.0	23.0	False	66.0	PF16704	
PFAM0000176	6	1	0	5	0.16666666666666666	0.16666666666666666	RGPD5	PF01465	1.0	23.0	True	44.0	CL0810	GRIP-like
PFAM0000177	4	2	0	2	0.5	0.5	XYLT2	PF02485	5.0	11.0	False	254.0	CL0110	GT-A
PFAM0000178	4	1	1	2	0.25	0.468225	XYLT2	PF12529	3.0	11.0	False	181.0	PF12529	
PFAM0000180	9	8	0	1	0.8888888888888888	0.9253111111111111	SCTR	PF02793	3.0	13.0	False	61.0	PF02793	
PFAM0000181	9	5	2	2	0.5555555555555556	0.7918222222222222	SCTR	PF00002	8.0	13.0	False	245.0	CL0192	GPCR_A
PFAM0000184	10	9	0	1	0.9	0.88896	PSD	PF01369	6.0	16.0	False	151.0	PF01369	
PFAM0000185	10	9	0	1	0.9	0.91577	PSD	PF15410	4.0	16.0	False	112.0	CL0266	PH
PFAM0000186	1	0	0	1	0.0	0.0	SYT13	PF00168	1.0	6.0	True	90.0	CL0154	C2
PFAM0000187	1	0	0	1	0.0	0.0	SYT13	PF00168	2.0	6.0	False	107.0	CL0154	C2
PFAM0000188	1	0	0	1	0.0	0.0	SNAI2	PF00096	1.0	3.0	True	23.0	CL0361	C2H2-zf
PFAM0000189	1	0	0	1	0.0	0.0	SNAI2	PF00096	1.0	3.0	True	23.0	CL0361	C2H2-zf
PFAM0000190	1	0	0	1	0.0	0.0	SNAI2	PF00096	1.0	3.0	True	22.0	CL0361	C2H2-zf
PFAM0000191	1	0	0	1	0.0	0.0	SNAI2	PF00096	1.0	3.0	True	23.0	CL0361	C2H2-zf
PFAM0000192	1	0	0	1	0.0	0.0	SNAI2	PF00096	1.0	3.0	True	20.0	CL0361	C2H2-zf
PFAM0000193	23	16	4	3	0.6956521739130435	0.8428086956521739	VDAC3	PF01459	8.0	8.0	False	274.0	CL0193	MBB
PFAM0000194	9	9	0	0	1.0	0.9490777777777778	SLC7A9	PF13520	10.0	12.0	False	408.0	CL0062	APC
PFAM0000200	8	4	0	4	0.5	0.489875	RB1CC1	PF10377	5.0	22.0	False	111.0	PF10377	
PFAM0000207	16	11	1	4	0.6875	0.78154375	CDH17	PF00028	3.0	17.0	False	105.0	CL0159	E-set
PFAM0000208	16	12	0	4	0.75	0.7744125	CDH17	PF00028	2.0	17.0	False	64.0	CL0159	E-set
PFAM0000209	16	15	0	1	0.9375	0.9214375	CDH17	PF00028	3.0	17.0	False	83.0	CL0159	E-set
PFAM0000210	16	14	0	2	0.875	0.875	CDH17	PF00028	2.0	17.0	False	79.0	CL0159	E-set
PFAM0000211	16	14	0	2	0.875	0.85090625	CDH17	PF00028	3.0	17.0	False	83.0	CL0159	E-set
PFAM0000212	11	6	2	3	0.5454545454545454	0.7674545454545455	B4GALT7	PF13733	2.0	6.0	False	92.0	CL0110	GT-A
PFAM0000213	11	7	1	3	0.6363636363636364	0.6937818181818183	B4GALT7	PF02709	3.0	6.0	False	76.0	CL0110	GT-A
PFAM0000216	4	3	0	1	0.75	0.766875	CHPF2	PF05679	3.0	4.0	False	518.0	CL0110	GT-A
PFAM0000217	3	0	2	1	0.0	0.47973333333333334	GABARAPL2	PF02991	3.0	4.0	False	104.0	CL0072	Ubiquitin
PFAM0000218	2	2	0	0	1.0	1.0	MYOC	PF02191	1.0	3.0	True	253.0	CL0186	Beta_propeller
PFAM0000220	10	10	0	0	1.0	1.0	NSMAF	PF02893	5.0	31.0	False	115.0	CL0266	PH
PFAM0000221	10	10	0	0	1.0	1.0	NSMAF	PF02138	9.0	31.0	False	272.0	PF02138	
PFAM0000222	10	10	0	0	1.0	1.0	NSMAF	PF00400	3.0	31.0	False	32.0	CL0186	Beta_propeller
PFAM0000223	10	10	0	0	1.0	1.0	NSMAF	PF00400	2.0	31.0	False	35.0	CL0186	Beta_propeller
PFAM0000224	10	10	0	0	1.0	1.0	NSMAF	PF00400	2.0	31.0	False	34.0	CL0186	Beta_propeller
PFAM0000225	10	10	0	0	1.0	1.0	NSMAF	PF00400	2.0	31.0	False	37.0	CL0186	Beta_propeller
PFAM0000226	10	10	0	0	1.0	1.0	NSMAF	PF00400	2.0	31.0	False	33.0	CL0186	Beta_propeller
PFAM0000227	11	11	0	0	1.0	0.9833636363636363	OTC	PF02729	5.0	10.0	False	142.0	PF02729	
PFAM0000228	11	8	2	1	0.7272727272727273	0.8677636363636364	OTC	PF00185	5.0	10.0	False	154.0	CL0063	NADP_Rossmann
PFAM0000229	17	9	0	8	0.5294117647058824	0.6313647058823529	TTC17	PF13181	2.0	24.0	False	30.0	CL0020	TPR
PFAM0000230	17	15	0	2	0.8823529411764706	0.8823529411764706	TTC17	PF13181	1.0	24.0	True	27.0	CL0020	TPR
PFAM0000232	4	2	2	0	0.5	0.75745	MRI1	PF01008	6.0	6.0	False	303.0	CL0063	NADP_Rossmann
PFAM0000233	3	3	0	0	1.0	1.0	BOD1L1	PF05205	3.0	26.0	False	96.0	PF05205	
PFAM0000234	11	11	0	0	1.0	1.0	TARBP1	PF25050	3.0	30.0	False	86.0	PF25050	
PFAM0000235	11	11	0	0	1.0	1.0	TARBP1	PF00588	4.0	30.0	False	142.0	CL0098	SPOUT
PFAM0000236	30	21	2	7	0.7	0.7607499999999999	RIPOR1	PF15903	12.0	21.0	False	349.0	PF15903	
PFAM0000238	2	0	0	2	0.0	0.0	RTN4R	PF13855	1.0	2.0	True	55.0	CL0022	LRR
PFAM0000239	2	0	0	2	0.0	0.0	RTN4R	PF13855	1.0	2.0	True	58.0	CL0022	LRR
PFAM0000240	23	14	0	9	0.6086956521739131	0.7214956521739131	PSMA4	PF10584	2.0	8.0	False	23.0	CL0052	NTN
PFAM0000241	23	17	4	2	0.7391304347826086	0.8581043478260869	PSMA4	PF00227	6.0	8.0	False	186.0	CL0052	NTN
PFAM0000244	4	2	0	2	0.5	0.7207749999999999	ZPBP	PF07354	4.0	8.0	False	97.0	CL0159	E-set
PFAM0000245	4	2	1	1	0.5	0.6533249999999999	ZPBP	PF20626	2.0	8.0	False	50.0	CL0001	EGF
PFAM0000246	12	5	3	4	0.4166666666666667	0.6154916666666667	CTNS	PF04193	2.0	10.0	False	57.0	CL0141	MtN3-like
PFAM0000247	12	8	0	4	0.6666666666666666	0.6666666666666666	CTNS	PF04193	3.0	10.0	False	58.0	CL0141	MtN3-like
PFAM0000248	4	2	0	2	0.5	0.5	LCP2	PF07647	4.0	21.0	False	63.0	CL0003	SAM
PFAM0000249	4	3	0	1	0.75	0.75	LCP2	PF00017	3.0	21.0	False	84.0	CL0541	SH2-like
PFAM0000251	32	21	9	2	0.65625	0.8368125	DCN	PF01462	2.0	7.0	False	27.0	PF01462	
PFAM0000252	32	17	1	14	0.53125	0.59446875	DCN	PF13855	2.0	7.0	False	58.0	CL0022	LRR
PFAM0000253	32	16	1	15	0.5	0.557796875	DCN	PF13855	2.0	7.0	False	62.0	CL0022	LRR
PFAM0000254	32	20	0	12	0.625	0.625	DCN	PF13855	2.0	7.0	False	61.0	CL0022	LRR
PFAM0000255	2	1	0	1	0.5	0.47805	TNFRSF17	PF09257	2.0	3.0	False	38.0	CL0607	TNF_receptor
PFAM0000256	6	5	1	0	0.8333333333333334	0.9485833333333332	MRPS10	PF00338	3.0	7.0	False	94.0	PF00338	
PFAM0000257	31	24	0	7	0.7741935483870968	0.8137903225806451	GRN	PF00396	2.0	12.0	False	41.0	PF00396	
PFAM0000258	31	16	2	13	0.5161290322580645	0.6075258064516129	GRN	PF00396	2.0	12.0	False	42.0	PF00396	
PFAM0000259	31	16	2	13	0.5161290322580645	0.5668193548387097	GRN	PF00396	2.0	12.0	False	42.0	PF00396	
PFAM0000260	31	15	3	13	0.4838709677419355	0.5414709677419355	GRN	PF00396	2.0	12.0	False	42.0	PF00396	
PFAM0000261	31	17	2	12	0.5483870967741935	0.5861548387096774	GRN	PF00396	2.0	12.0	False	41.0	PF00396	
PFAM0000262	31	18	1	12	0.5806451612903226	0.597541935483871	GRN	PF00396	2.0	12.0	False	42.0	PF00396	
PFAM0000263	31	19	0	12	0.6129032258064516	0.6129032258064516	GRN	PF00396	2.0	12.0	False	42.0	PF00396	
PFAM0000266	11	10	0	1	0.9090909090909091	0.9090909090909091	THAP3	PF05485	2.0	5.0	False	78.0	PF05485	
PFAM0000267	1	1	0	0	1.0	0.8046	VAMP3	PF00957	4.0	5.0	False	87.0	CL0445	SNARE-fusion
PFAM0000269	4	3	0	1	0.75	0.75	RCN1	PF13499	2.0	6.0	False	63.0	CL0220	EF_hand
PFAM0000270	4	2	0	2	0.5	0.5	RCN1	PF13202	1.0	6.0	True	19.0	CL0220	EF_hand
PFAM0000271	4	2	0	2	0.5	0.5	RCN1	PF13202	1.0	6.0	True	14.0	CL0220	EF_hand
PFAM0000272	23	10	6	7	0.43478260869565216	0.6504565217391304	RFC2	PF00004	5.0	11.0	False	118.0	CL0023	P-loop_NTPase
PFAM0000273	23	11	8	4	0.4782608695652174	0.7355956521739131	RFC2	PF08542	3.0	11.0	False	86.0	CL0604	post-AAA
PFAM0000276	5	1	0	4	0.2	0.2	PPP1R3F	PF03370	1.0	4.0	True	121.0	CL0576	STARBD
PFAM0000277	2	2	0	0	1.0	1.0	NEXMIF	PF15735	1.0	3.0	True	407.0	PF15735	
PFAM0000278	4	1	0	3	0.25	0.282075	ARHGEF5	PF15441	1.0	14.0	True	478.0	PF15441	
PFAM0000279	4	2	0	2	0.5	0.5	ARHGEF5	PF00621	5.0	14.0	False	177.0	CL0852	DH-like
PFAM0000280	4	2	0	2	0.5	0.5	ARHGEF5	PF00169	3.0	14.0	False	91.0	CL0266	PH
PFAM0000281	4	2	0	2	0.5	0.5	ARHGEF5	PF00018	2.0	14.0	False	44.0	CL0010	SH3
PFAM0000282	5	4	0	1	0.8	0.8	NFE2L3	PF03131	1.0	4.0	True	90.0	CL0018	bZIP
PFAM0000283	5	4	0	1	0.8	0.8	TNIP3	PF16516	3.0	11.0	False	95.0	PF16516	
PFAM0000284	4	4	0	0	1.0	0.981175	SIKE1	PF05769	5.0	5.0	False	186.0	PF05769	
PFAM0000285	3	2	0	1	0.6666666666666666	0.7620666666666667	TLL1	PF01400	5.0	21.0	False	191.0	CL0126	Peptidase_MA
PFAM0000286	3	1	0	2	0.3333333333333333	0.44849999999999995	TLL1	PF00431	3.0	21.0	False	110.0	CL0164	CUB
PFAM0000287	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF00431	2.0	21.0	False	110.0	CL0164	CUB
PFAM0000288	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF14670	1.0	21.0	True	33.0	CL0001	EGF
PFAM0000289	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF00431	2.0	21.0	False	110.0	CL0164	CUB
PFAM0000290	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF14670	1.0	21.0	True	36.0	CL0001	EGF
PFAM0000291	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF00431	2.0	21.0	False	110.0	CL0164	CUB
PFAM0000292	3	1	0	2	0.3333333333333333	0.3333333333333333	TLL1	PF00431	2.0	21.0	False	114.0	CL0164	CUB
PFAM0000294	1	1	0	0	1.0	1.0	CLDN11	PF00822	3.0	3.0	False	168.0	CL0375	Transporter
PFAM0000296	14	12	0	2	0.8571428571428571	0.8571428571428571	RELT	PF12606	1.0	10.0	True	36.0	PF12606	
PFAM0000297	9	7	1	1	0.7777777777777778	0.8643555555555555	CDC27	PF12895	3.0	19.0	False	77.0	CL0020	TPR
PFAM0000298	9	6	0	3	0.6666666666666666	0.6666666666666666	CDC27	PF00515	2.0	19.0	False	34.0	CL0020	TPR
PFAM0000299	9	6	0	3	0.6666666666666666	0.6666666666666666	CDC27	PF13181	1.0	19.0	True	34.0	CL0020	TPR
PFAM0000300	9	7	0	2	0.7777777777777778	0.7685222222222222	CDC27	PF00515	2.0	19.0	False	32.0	CL0020	TPR
PFAM0000301	9	7	0	2	0.7777777777777778	0.7777777777777778	CDC27	PF13181	2.0	19.0	False	31.0	CL0020	TPR
PFAM0000306	9	7	2	0	0.7777777777777778	0.9100777777777778	YIPF1	PF04893	4.0	8.0	False	173.0	CL0112	Yip1
PFAM0000307	17	15	0	2	0.8823529411764706	0.8823529411764706	ADCK2	PF03109	1.0	8.0	True	50.0	CL0016	PKinase
PFAM0000308	17	10	5	2	0.5882352941176471	0.7770235294117648	ADCK2	PF03109	6.0	8.0	False	234.0	CL0016	PKinase
PFAM0000309	5	4	0	1	0.8	0.84544	SLC2A3	PF00083	9.0	10.0	False	452.0	CL0015	MFS
PFAM0000310	14	8	3	3	0.5714285714285714	0.6941285714285714	ENPP2	PF01033	1.0	25.0	True	39.0	PF01033	
PFAM0000311	14	13	0	1	0.9285714285714286	0.9285714285714286	ENPP2	PF01033	2.0	25.0	False	41.0	PF01033	
PFAM0000312	14	12	0	2	0.8571428571428571	0.9048357142857143	ENPP2	PF01663	11.0	25.0	False	313.0	CL0088	Alk_phosphatase
PFAM0000313	14	12	1	1	0.8571428571428571	0.8981214285714286	ENPP2	PF01223	6.0	25.0	False	233.0	CL0263	His-Me_finger
PFAM0000317	18	13	0	5	0.7222222222222222	0.7222222222222222	STYK1	PF07714	7.0	9.0	False	263.0	CL0016	PKinase
PFAM0000318	2	0	0	2	0.0	0.0	GNA11	PF00503	7.0	7.0	False	330.0	CL0023	P-loop_NTPase
PFAM0000319	11	8	2	1	0.7272727272727273	0.842709090909091	CREB3L3	PF00170	3.0	10.0	False	63.0	CL0018	bZIP
PFAM0000321	24	12	0	12	0.5	0.5	HDAC7	PF00850	10.0	26.0	False	319.0	CL0302	Arginase
PFAM0000322	10	6	1	3	0.6	0.72955	MRPS35	PF10213	4.0	8.0	False	88.0	CL0337	RF
PFAM0000323	7	5	1	1	0.7142857142857143	0.8171999999999999	APPBP2	PF13424	2.0	13.0	False	62.0	CL0020	TPR
PFAM0000324	7	6	0	1	0.8571428571428571	0.8571428571428571	APPBP2	PF13374	2.0	13.0	False	36.0	CL0020	TPR
PFAM0000326	6	5	0	1	0.8333333333333334	0.8255833333333333	CA11	PF00194	6.0	9.0	False	244.0	PF00194	
